Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
India,Asia,1381344997.0,2025409,,41638.0,,1377384.0,,606387.0,8944.0,1466.0,30.0,22149351.0,16035.0,South-EastAsia
Iran,Asia,84097623.0,320117,,17976.0,,277463.0,,24678.0,4156.0,3806.0,214.0,2612763.0,31068.0,EasternMediterranean
Saudi Arabia,Asia,34865919.0,284226,,3055.0,,247089.0,,34082.0,1915.0,8152.0,88.0,3635705.0,104277.0,EasternMediterranean
Pakistan,Asia,221295851.0,281863,,6035.0,,256058.0,,19770.0,809.0,1274.0,27.0,2058872.0,9304.0,EasternMediterranean
Bangladesh,Asia,164851401.0,249651,,3306.0,,143824.0,,102521.0,,1514.0,20.0,1225124.0,7432.0,South-EastAsia
Turkey,Asia,84428331.0,237265,,5798.0,,220546.0,,10921.0,580.0,2810.0,69.0,5081802.0,60191.0,Europe
Iraq,Asia,40306025.0,140603,,5161.0,,101025.0,,34417.0,517.0,3488.0,128.0,1092741.0,27111.0,EasternMediterranean
Philippines,Asia,109722719.0,119460,,2150.0,,66837.0,,50473.0,239.0,1089.0,20.0,1669996.0,15220.0,WesternPacific
Indonesia,Asia,273808365.0,118753,,5521.0,,75645.0,,37587.0,,434.0,20.0,1633156.0,5965.0,South-EastAsia
Qatar,Asia,2807805.0,112092,,178.0,,108831.0,,3083.0,77.0,39922.0,63.0,511000.0,181993.0,EasternMediterranean
Kazakhstan,Asia,18798667.0,95942,,1058.0,,68871.0,,26013.0,221.0,5104.0,56.0,2163713.0,115099.0,Europe
Oman,Asia,5118446.0,80713,,492.0,,70910.0,,9311.0,177.0,15769.0,96.0,309212.0,60411.0,EasternMediterranean
Israel,Asia,9197590.0,79559,,576.0,,53427.0,,25556.0,358.0,8650.0,63.0,1872453.0,203581.0,Europe
Kuwait,Asia,4276658.0,70045,,469.0,,61610.0,,7966.0,127.0,16378.0,110.0,522200.0,122105.0,EasternMediterranean
UAE,Asia,9902079.0,61845,,354.0,,55739.0,,5752.0,,6246.0,36.0,5262658.0,531470.0,EasternMediterranean
Singapore,Asia,5854932.0,54555,,27.0,,48031.0,,6497.0,,9318.0,5.0,1474372.0,251817.0,WesternPacific
Bahrain,Asia,1706669.0,42889,,156.0,,39945.0,,2788.0,41.0,25130.0,91.0,876700.0,513691.0,EasternMediterranean
Japan,Asia,126435859.0,42263,,1026.0,,28877.0,,12360.0,115.0,334.0,8.0,938739.0,7425.0,WesternPacific
Armenia,Asia,2963811.0,39819,,772.0,,31556.0,,7491.0,,13435.0,260.0,171600.0,57898.0,Europe
Kyrgyzstan,Asia,6534479.0,38659,,1447.0,,30099.0,,7113.0,24.0,5916.0,221.0,267718.0,40970.0,Europe
Afghanistan,Asia,39009447.0,36896,,1298.0,,25840.0,,9758.0,31.0,946.0,33.0,90396.0,2317.0,EasternMediterranean
Azerbaijan,Asia,10148243.0,33247,,479.0,,29275.0,,3493.0,66.0,3276.0,47.0,766179.0,75499.0,Europe
Uzbekistan,Asia,33516027.0,28315,,175.0,,19291.0,,8849.0,228.0,845.0,5.0,1377915.0,41112.0,Europe
Nepal,Asia,29186486.0,21750,,65.0,,15389.0,,6296.0,,745.0,2.0,731977.0,25079.0,South-EastAsia
S. Korea,Asia,51273732.0,14519,20.0,303.0,1.0,13543.0,42.0,673.0,18.0,283.0,6.0,1613652.0,31471.0,WesternPacific
Palestine,Asia,5112340.0,13398,,92.0,,6907.0,,6399.0,,2621.0,18.0,200280.0,39176.0,EasternMediterranean
Malaysia,Asia,32406372.0,9038,,125.0,,8713.0,,200.0,2.0,279.0,4.0,991333.0,30591.0,WesternPacific
Tajikistan,Asia,9557468.0,7665,,62.0,,6443.0,,1160.0,,802.0,6.0,,,Europe
Lebanon,Asia,6822220.0,5672,,70.0,,1974.0,,3628.0,46.0,831.0,10.0,345268.0,50609.0,EasternMediterranean
Maldives,Asia,541448.0,4680,,19.0,,2725.0,,1936.0,12.0,8643.0,35.0,85587.0,158071.0,South-EastAsia
Hong Kong,Asia,7503041.0,3850,,46.0,,2458.0,,1346.0,39.0,513.0,6.0,692430.0,92287.0,WesternPacific
Thailand,Asia,69817894.0,3330,,58.0,,3148.0,,124.0,1.0,48.0,0.8,749213.0,10731.0,South-EastAsia
Sri Lanka,Asia,21422362.0,2839,,11.0,,2541.0,,287.0,1.0,133.0,0.5,166737.0,7783.0,South-EastAsia
Yemen,Asia,29886897.0,1768,,508.0,,898.0,,362.0,,59.0,17.0,120.0,4.0,EasternMediterranean
Jordan,Asia,10213138.0,1232,,11.0,,1171.0,,50.0,3.0,121.0,1.0,628745.0,61562.0,EasternMediterranean
Cyprus,Asia,1208238.0,1208,,19.0,,856.0,,333.0,,1000.0,16.0,216597.0,179267.0,Europe
Georgia,Asia,3988368.0,1206,,17.0,,987.0,,202.0,,302.0,4.0,240473.0,60294.0,Europe
Syria,Asia,17539600.0,999,,48.0,,311.0,,640.0,,57.0,3.0,,,EasternMediterranean
Vietnam,Asia,97425470.0,747,,10.0,,392.0,,345.0,,8.0,0.1,482456.0,4952.0,WesternPacific
